year_film,year_ceremony,ceremony,category,name,film,win,total_noms,total_wins,imdb_id
1970,1971,43,Best Picture,"Ross Hunter, Producer",Airport,0,,,
1970,1971,43,Best Actress,Carrie Snodgress,Diary of a Mad Housewife,0,,,
1970,1971,43,Best Director,Federico Fellini,Fellini Satyricon,0,,,
1970,1971,43,Best Actor,Jack Nicholson,Five Easy Pieces,0,,,
1970,1971,43,Best Picture,"Bob Rafelson and Richard Wechsler, Producers",Five Easy Pieces,0,,,
1970,1971,43,Best Actor,Melvyn Douglas,I Never Sang for My Father,0,,,
1970,1971,43,Best Actor,Ryan O'Neal,Love Story,0,,,
1970,1971,43,Best Actress,Ali MacGraw,Love Story,0,,,
1970,1971,43,Best Director,Arthur Hiller,Love Story,0,,,
1970,1971,43,Best Picture,"Howard G. Minsky, Producer",Love Story,0,,,
1970,1971,43,Best Director,Robert Altman,M*A*S*H,0,,,
1970,1971,43,Best Picture,"Ingo Preminger, Producer",M*A*S*H,0,,,
1970,1971,43,Best Actor,George C. Scott,Patton,1,,,
1970,1971,43,Best Director,Franklin J. Schaffner,Patton,1,,,
1970,1971,43,Best Picture,"Frank McCarthy, Producer",Patton,1,,,
1970,1971,43,Best Actress,Sarah Miles,Ryan's Daughter,0,,,
1970,1971,43,Best Actor,James Earl Jones,The Great White Hope,0,,,
1970,1971,43,Best Actress,Jane Alexander,The Great White Hope,0,,,
1970,1971,43,Best Actress,Glenda Jackson,Women in Love,1,,,
1970,1971,43,Best Director,Ken Russell,Women in Love,0,,,
1971,1972,44,Best Director,Stanley Kubrick,A Clockwork Orange,0,,,
1971,1972,44,Best Picture,"Stanley Kubrick, Producer",A Clockwork Orange,0,,,
1971,1972,44,Best Actor,Topol,Fiddler on the Roof,0,,,
1971,1972,44,Best Director,Norman Jewison,Fiddler on the Roof,0,,,
1971,1972,44,Best Picture,"Norman Jewison, Producer",Fiddler on the Roof,0,,,
1971,1972,44,Best Actress,Jane Fonda,Klute,1,,,
1971,1972,44,Best Actor,Walter Matthau,Kotch,0,,,
1971,1972,44,Best Actress,Vanessa Redgrave,"Mary, Queen of Scots",0,,,
1971,1972,44,Best Actress,Julie Christie,McCabe & Mrs. Miller,0,,,
1971,1972,44,Best Actress,Janet Suzman,Nicholas and Alexandra,0,,,
1971,1972,44,Best Picture,"Sam Spiegel, Producer",Nicholas and Alexandra,0,,,
1971,1972,44,Best Actor,Peter Finch,Sunday Bloody Sunday,0,,,
1971,1972,44,Best Actress,Glenda Jackson,Sunday Bloody Sunday,0,,,
1971,1972,44,Best Director,John Schlesinger,Sunday Bloody Sunday,0,,,
1971,1972,44,Best Actor,Gene Hackman,The French Connection,1,,,
1971,1972,44,Best Director,William Friedkin,The French Connection,1,,,
1971,1972,44,Best Picture,"Philip D'Antoni, Producer",The French Connection,1,,,
1971,1972,44,Best Actor,George C. Scott,The Hospital,0,,,
1971,1972,44,Best Director,Peter Bogdanovich,The Last Picture Show,0,,,
1971,1972,44,Best Picture,"Stephen J. Friedman, Producer",The Last Picture Show,0,,,
1972,1973,45,Best Actress,Liza Minnelli,Cabaret,1,,,
1972,1973,45,Best Director,Bob Fosse,Cabaret,1,,,
1972,1973,45,Best Picture,"Cy Feuer, Producer",Cabaret,0,,,
1972,1973,45,Best Director,John Boorman,Deliverance,0,,,
1972,1973,45,Best Picture,"John Boorman, Producer",Deliverance,0,,,
1972,1973,45,Best Actress,Diana Ross,Lady Sings the Blues,0,,,
1972,1973,45,Best Actor,Michael Caine,Sleuth,0,,,
1972,1973,45,Best Actor,Laurence Olivier,Sleuth,0,,,
1972,1973,45,Best Director,Joseph L. Mankiewicz,Sleuth,0,,,
1972,1973,45,Best Actor,Paul Winfield,Sounder,0,,,
1972,1973,45,Best Actress,Cicely Tyson,Sounder,0,,,
