year_film,year_ceremony,ceremony,category,name,film,win,total_noms,total_wins,ids
1970,1971,43,Best Picture,"Ross Hunter, Producer",Airport,0,10,1,tt0065377
1970,1971,43,Best Actress,Carrie Snodgress,Diary of a Mad Housewife,0,1,0,tt0065636
1970,1971,43,Best Director,Federico Fellini,Fellini Satyricon,0,1,0,tt0064940
1970,1971,43,Best Actor,Jack Nicholson,Five Easy Pieces,0,4,0,tt0065724
1970,1971,43,Best Picture,"Bob Rafelson and Richard Wechsler, Producers",Five Easy Pieces,0,4,0,tt0065724
1970,1971,43,Best Actor,Melvyn Douglas,I Never Sang for My Father,0,3,0,tt0065872
1970,1971,43,Best Actor,Ryan O'Neal,Love Story,0,7,1,tt0066011
1970,1971,43,Best Actress,Ali MacGraw,Love Story,0,7,1,tt0066011
1970,1971,43,Best Director,Arthur Hiller,Love Story,0,7,1,tt0066011
1970,1971,43,Best Picture,"Howard G. Minsky, Producer",Love Story,0,7,1,tt0066011
1970,1971,43,Best Director,Robert Altman,M*A*S*H,0,5,1,tt0066026
1970,1971,43,Best Picture,"Ingo Preminger, Producer",M*A*S*H,0,5,1,tt0066026
1970,1971,43,Best Actor,George C. Scott,Patton,1,12,7,tt0066206
1970,1971,43,Best Director,Franklin J. Schaffner,Patton,1,12,7,tt0066206
1970,1971,43,Best Picture,"Frank McCarthy, Producer",Patton,1,12,7,tt0066206
1970,1971,43,Best Actress,Sarah Miles,Ryan's Daughter,0,4,2,tt0066319
1970,1971,43,Best Actor,James Earl Jones,The Great White Hope,0,2,0,tt0065797
1970,1971,43,Best Actress,Jane Alexander,The Great White Hope,0,2,0,tt0065797
1970,1971,43,Best Actress,Glenda Jackson,Women in Love,1,4,1,tt0066579
1970,1971,43,Best Director,Ken Russell,Women in Love,0,4,1,tt0066579
1971,1972,44,Best Director,Stanley Kubrick,A Clockwork Orange,0,4,0,tt0066921
1971,1972,44,Best Picture,"Stanley Kubrick, Producer",A Clockwork Orange,0,4,0,tt0066921
1971,1972,44,Best Actor,Topol,Fiddler on the Roof,0,8,3,tt0067093
1971,1972,44,Best Director,Norman Jewison,Fiddler on the Roof,0,8,3,tt0067093
1971,1972,44,Best Picture,"Norman Jewison, Producer",Fiddler on the Roof,0,8,3,tt0067093
1971,1972,44,Best Actress,Jane Fonda,Klute,1,2,1,tt0067309
1971,1972,44,Best Actor,Walter Matthau,Kotch,0,4,0,tt0067314
